Vanessa,29,46.36
Who,7,63.54
Goldy,41,94.04
Owl34,34,4.4
Owl8,8,1.8
Phoebe,25,58.99
Owl62,62,7.2
Dan,44,26.14
Dasher,30,41.42
Rachel,10,18.84
Nate,49,87.94
Rufus,48,9.47
Aragog,17,50.96
Nagini,15,23.12
Owl23,23,3.3
Owl89,89,9.9
Ross,45,49.49
Donner,12,3.05
Owl57,57,6.7
Owl42,42,5.2
Rudolph,38,79.71
Dancer,11,93.88
Owl54,54,6.4
Owl15,15,2.5
Crookshanks,8,14.74
Lily ,22,39.47
Owl32,32,4.2
Jenny,45,30.38
Comet,32,23.15
Chandler,4,4.09
Owl65,65,7.5
Pidwidgeon,8,24.43
Buckbeak,7,96.87
Owl,38,7.31
Joey,50,26.14
Owl66,66,7.6
Chuck,7,62.43
Vixen,45,70.22
Owl58,58,6.8
Owl36,36,4.6
Owl46,46,5.6
Cupid,12,12.15
Scabbers,29,52.93
Owl68,68,7.8
﻿Errol,16,26.1
Turtle,26,28.78
Owl79,79,8.9
Owl43,43,5.3
Norbert,21,36.37
Owl21,21,3.1
Prancer,46,22.14
Archimedes,46,40.74
Blitzen,12,73.53
Owl77,77,8.7
Mrs. Norris,37,43.7
Hermes,12,20.29
Fawkes,37,61.28
Monica,4,45.33
Owl22,22,3.2
Arnold,49,87.15
Hedwig,3,69.07
Owl19,19,2.9
Blair,34,43.81
Owl44,44,5.4
Owl25,25,3.5
Serena,39,49.49
Fluffy,8,93.11
